Data Point,1_clusters,2_clusters,3_clusters,4_clusters,5_clusters,6_clusters,7_clusters,8_clusters,9_clusters,10_clusters
347,0,0,0,0,0,0,0,0,0,0
348,0,0,0,0,0,0,0,0,0,9
349,0,1,1,3,3,3,4,2,2,2
350,0,1,1,3,3,3,4,1,2,2
351,0,0,2,1,4,4,6,3,3,5
352,0,1,1,3,3,3,4,2,2,2
353,0,0,2,2,2,5,5,6,6,6
354,0,0,2,2,2,2,3,7,8,8
355,0,0,2,2,2,2,3,7,8,8
356,0,1,1,1,4,4,6,5,5,3
357,0,0,2,2,2,2,3,7,8,8
358,0,0,0,0,0,0,0,0,0,9
359,0,0,0,0,0,0,0,0,0,9
360,0,1,1,1,4,4,6,5,5,3
361,0,1,1,3,3,3,4,1,1,1
362,0,1,2,2,2,2,2,7,7,7
363,0,0,2,1,4,4,6,3,3,5
364,0,1,2,2,2,2,2,7,7,7
365,0,1,1,3,3,3,4,5,5,1
366,0,0,0,0,0,0,0,0,0,9
367,0,0,0,0,0,0,0,0,0,9
368,0,1,1,1,4,4,6,3,3,5
369,0,0,0,2,2,2,2,7,7,7
370,0,0,2,2,2,2,3,7,8,7
371,0,1,2,2,2,2,3,7,8,8
372,0,0,0,0,0,0,0,0,0,9
373,0,1,2,2,1,1,1,4,4,4
374,0,1,1,3,3,3,4,2,2,2
375,0,0,0,2,2,2,2,7,7,7
376,0,1,1,3,3,3,4,2,2,2
377,0,0,0,0,0,0,0,0,7,0
378,0,1,2,2,2,2,3,7,8,8
379,0,0,0,0,0,0,0,0,0,9
380,0,0,0,0,0,0,0,0,0,9
381,0,0,0,0,0,0,0,0,0,9
382,0,1,2,2,3,2,3,1,8,8
383,0,1,1,3,1,1,1,1,1,1
384,0,0,0,0,0,0,0,0,0,0
385,0,1,1,3,3,3,4,2,2,0
386,0,1,1,3,1,1,1,1,1,1
387,0,0,2,2,2,2,2,7,7,7
388,0,0,0,0,0,0,0,0,0,0
389,0,0,2,2,1,1,1,4,4,4
390,0,1,1,3,1,3,4,1,1,1
391,0,0,0,0,0,0,0,0,0,9
392,0,1,1,3,3,3,4,2,2,0
393,0,0,0,0,0,0,0,0,0,0
394,0,1,1,3,3,3,4,2,2,2
395,0,0,0,0,0,0,0,0,0,0
396,0,0,0,0,0,0,0,3,3,0
397,0,0,0,0,0,0,0,0,0,9
398,0,0,0,0,0,0,0,0,0,9
399,0,1,1,3,3,3,4,2,2,0
400,0,0,2,2,2,2,3,7,8,8
401,0,0,0,0,0,0,0,0,0,9
402,0,1,2,2,1,1,1,1,8,8
403,0,1,1,3,3,3,4,2,2,2
404,0,0,0,0,0,0,0,0,0,0
405,0,1,1,3,3,3,4,2,2,2
